Date,Open,High,Low,Close,Adj Close,Volume
2014-04-03,573.39,588.3,566.01,571.5,28.575,4019626
2014-04-04,578.55,579.7173,544.494,545.25,27.2625,5366972
2014-04-07,544.79,549.85,530.53,540.63,27.0315,3961552
2014-04-08,545.05,559.88,544.7,557.51,27.8755,3488768
2014-04-09,565.84,567.8,555.38,567.04,28.352,3033589
2014-04-10,568.0,568.21,545.5,546.69,27.3345,3296996
2014-04-11,537.94,547.59,533.4,537.76,26.888,3175460
2014-04-14,543.66,553.02,540.52,545.2,27.26,2541398
2014-04-15,551.0,552.89,530.64,548.7,27.435,3999843
2014-04-16,557.7,564.0,553.1,563.9,28.195,4588541
2014-04-17,556.32,557.0,539.4,543.34,27.167,5616862
2014-04-21,544.0,544.0,534.0,539.37,26.9685,2425207
2014-04-22,536.0,547.995,536.0,545.5,27.275,2331121
2014-04-23,543.67,544.8,528.1277,537.51,26.8755,1959330
2014-04-24,541.69,542.5,531.0,534.44,26.722,2069559
2014-04-25,532.26,533.86,522.5,523.1,26.155,2372604
2014-04-28,525.8,525.9,511.0,522.98,26.149,3752779
2014-04-29,523.89,537.76,523.0,536.33,26.8165,2535967
2014-04-30,535.12,536.34,529.09,534.88,26.744,2038658
2014-05-01,534.25,539.91,532.86,538.53,26.9265,2004375
2014-05-02,541.44,542.4,533.27,533.87,26.6935,1781595
2014-05-05,530.24,535.72,527.58,535.33,26.7665,1228797
2014-05-06,533.41,534.548,522.2601,522.57,26.1285,1835318
2014-05-07,523.25,524.43,511.09,518.0,25.9,3074346
2014-05-08,515.72,527.35,514.46,520.17,26.0085,2452197
2014-05-09,518.65,527.35,514.28,526.62,26.331,2261447
2014-05-12,531.84,538.75,527.51,538.43,26.9215,1949291
2014-05-13,539.58,543.99,537.9,541.54,27.077,2011963
2014-05-14,541.82,541.82,533.11,534.41,26.7205,1281148
2014-05-15,533.14,533.9999,525.31,529.12,26.456,1833044
2014-05-16,529.6,530.84,523.57,528.3,26.415,1907733
2014-05-19,528.88,539.35,525.66,538.83,26.9415,1977885
2014-05-20,540.0,546.35,536.57,540.39,27.0195,2425292
2014-05-21,542.9,549.75,542.11,549.7,27.485,1564854
2014-05-22,552.2,557.96,551.0,555.45,27.7725,2149757
2014-05-23,558.13,565.0,554.17,563.8,28.19,2672674
2014-05-27,567.78,574.87,564.15,574.87,28.7435,2191828
2014-05-28,574.57,577.66,569.952,570.45,28.5225,1581576
2014-05-29,573.39,573.48,568.4525,570.56,28.528,1411296
2014-05-30,571.64,572.58,565.79,571.65,28.5825,1871737
2014-06-02,569.75,570.41,556.7,564.34,28.217,1663640
2014-06-03,560.9,562.4,552.5275,554.51,27.7255,2031647
2014-06-04,551.52,558.58,548.56,553.76,27.688,1729192
2014-06-05,557.11,565.0,555.05,564.93,28.2465,1796370
2014-06-06,568.16,568.7999,559.58,566.03,28.3015,1740934
2014-06-09,566.75,572.0,565.22,570.73,28.5365,1529959
2014-06-10,568.78,572.0,566.13,568.3,28.415,1485115
2014-06-11,565.92,568.97,563.68,567.5,28.375,1129173
2014-06-12,567.0,567.0,557.15,559.5,27.975,1549487
2014-06-13,560.08,560.65,553.72,560.35,28.0175,1353343
2014-06-16,557.25,557.99,550.0,552.3,27.615,1971842
2014-06-17,552.36,553.74,547.47,550.615,27.5308,1481669
2014-06-18,552.8,561.4,551.58,560.66,28.033,2060681
2014-06-19,561.15,565.0,556.6679,564.99,28.2495,2630539
2014-06-20,566.45,566.77,559.37,566.52,28.326,3162147
2014-06-23,564.35,574.44,563.5,574.29,28.7145,1724098
2014-06-24,574.22,582.25,569.16,572.54,28.627,2844325
2014-06-25,573.55,587.3,573.26,585.93,29.2965,2114743
2014-06-26,589.3,589.6,579.6,584.77,29.2385,2012360
2014-06-27,585.45,587.88,582.62,585.69,29.2845,2022118
2014-06-30,586.76,587.71,583.29,584.67,29.2335,1479411
2014-07-01,587.65,593.66,586.29,591.49,29.5745,1644628
2014-07-02,592.26,594.15,589.11,590.78,29.539,1197005
2014-07-03,591.7,594.25,589.0,593.08,29.654,898852
2014-07-07,593.51,595.645,587.94,590.76,29.538,1337088
2014-07-08,586.365,587.97,574.0,578.4,28.92,2129924
2014-07-09,578.95,584.1,577.0,583.36,29.168,1373056
2014-07-10,573.0,585.25,572.1001,580.04,29.002,1436326
2014-07-11,581.0,588.23,580.575,586.65,29.3325,1514265
2014-07-14,590.6,594.86,586.693,594.26,29.713,1954612
2014-07-15,595.15,595.2999,585.31,593.06,29.653,1673979
2014-07-16,596.89,597.0,590.25,590.62,29.531,1442211
2014-07-17,588.97,589.5,576.85,580.82,29.041,2941648
2014-07-18,603.01,606.7,590.92,605.11,30.2555,4874260
2014-07-21,601.35,604.16,594.45,598.44,29.922,2240111
